Run Fondo;fecha;serie;periodo;valor_renta
8088;2023-01-31;B;1M;-0.44%
8088;2023-01-31;B;3M;-6.56%
8088;2023-01-31;B;6M;-11.47%
8088;2023-01-31;B;1Y;-11.19%
8088;2023-01-31;B;YTD;-0.45%
8088;2023-02-01;B;1M;-0.99%
8088;2023-02-01;B;3M;-7.07%
8088;2023-02-01;B;6M;-11.26%
8088;2023-02-01;B;1Y;-12.36%
8088;2023-02-01;B;YTD;-0.99%
8088;2023-02-02;B;1M;-1.04%
8088;2023-02-02;B;3M;-6.70%
8088;2023-02-02;B;6M;-11.21%
8088;2023-02-02;B;1Y;-13.81%
8088;2023-02-02;B;YTD;-1.05%
8088;2023-02-03;B;1M;0.77%
8088;2023-02-03;B;3M;-5.08%
8088;2023-02-03;B;6M;-11.70%
8088;2023-02-03;B;1Y;-13.23%
8088;2023-02-03;B;YTD;0.11%
8088;2023-02-04;B;1M;-0.28%
8088;2023-02-04;B;3M;-4.36%
8088;2023-02-04;B;6M;-12.03%
8088;2023-02-04;B;1Y;-13.87%
8088;2023-02-04;B;YTD;0.10%
8088;2023-02-05;B;1M;0.01%
8088;2023-02-05;B;3M;-4.36%
8088;2023-02-05;B;6M;-12.91%
8088;2023-02-05;B;1Y;-13.87%
8088;2023-02-05;B;YTD;0.10%
8088;2023-02-06;B;1M;2.37%
8088;2023-02-06;B;3M;-2.66%
8088;2023-02-06;B;6M;-11.37%
8088;2023-02-06;B;1Y;-12.35%
8088;2023-02-06;B;YTD;1.87%
8088;2023-02-07;B;1M;1.37%
8088;2023-02-07;B;3M;-2.65%
8088;2023-02-07;B;6M;-12.23%
8088;2023-02-07;B;1Y;-13.48%
8088;2023-02-07;B;YTD;0.87%
8088;2023-02-08;B;1M;0.76%
8088;2023-02-08;B;3M;-2.49%
8088;2023-02-08;B;6M;-11.67%
8088;2023-02-08;B;1Y;-13.96%
8088;2023-02-08;B;YTD;0.26%
8088;2023-02-09;B;1M;0.45%
8088;2023-02-09;B;3M;-1.39%
8088;2023-02-09;B;6M;-9.76%
8088;2023-02-09;B;1Y;-15.78%
