"Run Fondo";"serie";"caracteristica";"fecha_inicio";"fecha_termino";"valor_cuota_inicial";"continuadora_serie"
"8088";UNICA;;1996-05-13;2003-03-12;10783;
"8088";S;;2011-12-19;2015-01-08;1000;
"8088";A;;2003-03-13;2020-02-25;8495.8461;UNICA
"8088";C;;2005-03-22;2020-02-25;3000;
"8088";E;;2013-09-16;2020-02-25;1000;
"8088";B;APV;2003-03-13;;9000;
"8088";BCH;;;;1000;
"8088";BPLUS;APV;2022-08-31;;2000;
"8088";L;;2020-02-26;;11760.343;A
"8088";M;;2020-02-26;;7243.7799;C
"8090";UNICA;;1996-08-12;2006-01-21;1000;
"8090";ALTO;;2015-06-12;;1000;
"8090";AM;;2018-09-11;;1000;
"8090";APV;APV;2006-01-22;;975.0464;UNICA
"8090";EJECU;;2006-01-22;;975.0464;UNICA
"8090";G;;2016-11-28;;1000;
"8090";I;;2015-12-29;;1000;
"8090";II;;2016-04-01;;1000;
"8090";III;;2017-02-28;;NaN;
"8090";INVER;;2006-01-22;;1000;
"8090";UNIVE;;2006-01-22;;1000;
"8090";YOU;;2023-07-18;;1000;
"8294";B;;2004-05-06;2015-01-17;100;
"8294";APV2;APV;2010-01-14;2016-06-03;100;
"8294";APV3;APV;2010-01-14;2016-06-03;100;
"8294";APV4;APV;2010-01-14;2016-06-03;100;
"8294";APVC;APV;2009-02-26;2016-06-03;100;
"8294";E;;2015-01-18;2016-06-03;100;B
"8294";I;;2006-09-01;2016-06-03;100;
"8294";M;;2007-12-06;2016-06-03;100;
"8294";P;APV;2004-05-06;2016-06-03;100;
"8294";R;;2010-01-14;2016-06-03;100;
"8294";A;;2004-05-06;;100;
"8294";APV1;APV;2010-01-14;;100;
"8294";F;;2004-05-06;;100;
"8294";H;;2016-06-04;;2.1;I
"8294";I-APV;APV;2016-06-04;;100;P
"8294";J;;2017-10-17;;100;
"8294";S;;2015-06-17;;100;
"8294";V;;2016-06-04;;100;M
"8301";UNICA;;2004-05-18;2011-12-14;100;
"8301";A;;2011-12-15;2020-02-06;100;UNICA
"8301";C;;2011-12-15;2020-02-06;200;
"8301";BCH;;2021-08-02;;100;
"8301";L;;2020-02-07;;127.4193;A
"8301";M;;2020-02-07;;311.7695;C
"8427";G;;2010-07-21;2015-01-17;1000;
"8427";C;;2008-01-03;2017-07-06;1000;
"8427";D;;2009-11-18;2022-04-30;1000;
"8427";F;;2015-01-18;2022-04-30;1000;
"8427";A;APV;2006-06-01;;1000;
"8427";AC;;2020-12-28;;1000;
"8427";AI;APV;;;1000;
"8427";B;;2006-06-01;;1000;
"8427";CC;;2021-01-13;;1000;
"8427";E;;2015-01-18;;1000;
"8427";I;;2009-11-18;;1000;
"8427";IM;;2021-11-10;;1000;
"8621";R;;;2017-08-05;1000;
"8621";B;;2009-01-20;2020-12-22;1000;
"8621";C;APV;2009-01-20;2020-12-22;1000;
"8621";E-APV;APV;2017-06-16;2020-12-22;1000;
